"Application Name","Publisher","App Type","Enabled","Signed Last 30 Days","Roles - User Count","Roles - Group Count","Roles - App Count","Admin Consent","Admin Consented To","Users Consented","Users Consented To","App Permissions Assigned","App Permissions Assigned To","Longest Consent Valid Until","ApplicationId","Service Principal ObjectId","Homepage","ReplyURLs","Tags"
"SAP NetWeaver","Ratchev","AAD App Gallery SAML","True","False","0","0","0","N/A","","0","","N/A",,,"25f0fc3c-26f1-4b89-a4a0-7acc9a75cb6a","dcd33ad4-83b9-4ebc-9614-8a4c8ffba280","http://YourSAPNetWeaverServer/sap/saml2/sp/acs/100?metadata=sapnetweaver|ISV9.2|primary|z","[http://YourSAPNetWeaverServer/sap/saml2/sp/acs/100]","[b3b2cc59-ee2d-44d9-b992-271179ea8f94][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"LinkedSSO","IVIRatchev","AAD App 3d Party + SSO","True","False","1","0","0","N/A","","0","","N/A",,,"40247c1b-9917-4a67-a89b-e79db4ab1f24","dfbad4b9-97f5-43fb-a96a-793bad36e589","https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z",,"[8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"AD FS Token","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","False","","1","Windows Azure Active Directory","N/A",,"9/9/2019 9:41:26 PM","a5f99849-5730-4eeb-aba1-c733997cb0ea","ea5446d7-d6db-47a1-b646-cfdefe09a64c","https://adfshelp.microsoft.com/ClaimsXray/TokenRequest","[https://adfshelp.microsoft.com/ClaimsXray/TokenResponse]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AppcreatedbyanAPP admin - Preauth","IVIRatchev","AAD App Proxy","True","True","1","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","e8aef2c1-28d5-4881-a3b2-40820a0f9d5b","ea99d3df-dc41-4668-a16a-1db6c7bd77da","https://appadminpreauth-adrianlabs.msappproxy.net/","[https://appadminpreauth-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Jun18ADFS XRay","IVIRatchev","AAD App 3d Party + SSO","True","False","2","1","0","N/A","","0","","N/A",,,"6daeade5-bc1e-4714-9413-e6d75c4add66","edc3521d-d482-44d6-a387-67c7cd7ef6ee","https://127.0.0.1:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z","[https://adfshelp.microsoft.com/ClaimsXray/TokenResponse][https://127.0.0.1:444/applications/default.aspx]","[8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"AKSAADClient","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","True","AKAADServer","0","","N/A",,"9/24/2019 7:16:54 PM","689ae104-49d5-4e31-a73d-f72f00e42f2e","efdfe919-37d3-4612-a119-6bb582d9ab0a",,"[http://AKSAADClient]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Box","Ratchev","AAD App Gallery SAML","True","False","0","0","0","N/A","","0","","N/A",,,"50f6d996-de85-46ec-b05f-05687cc42fdc","f1bb4be8-7f01-4e6e-9b40-7b7977b38b7c","https://sso.services.box.net/sp/ACS.saml2?metadata=box|ISV9.1|primary|z","[https://sso.services.box.net/sp/ACS.saml2]","[f1764360-e0ec-4446-911e-cd6fc0d4dd61][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"TodoListService-OBO-CA","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","False","","1","Microsoft Graph;DownstreamService-OBO-CA","N/A",,"10/8/2019 12:19:30 AM","2353d639-9475-4843-9f4e-c7c16707b0d3","f8c95455-2aa0-43bd-8a6d-dd150affb989","https://localhost:44321/","[https://localhost:44321/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"mfa app","Ratchev","AAD App Proxy","True","False","1","0","0","N/A","","0","","N/A",,,"85920eba-8d8a-4984-838b-5886e8e44767","f9448fc5-65fb-4bd1-a786-246b3843a6f1","https://mfaapp.iviratchev.com/Portal/","[https://mfaapp.iviratchev.com/][https://127.0.0.1:444/applications/default.aspx]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Xraytest","IVIRatchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"94c69f85-faeb-4f44-9d9b-1ac2c36c62a1","fc721bfb-f590-418d-a8c0-1ca90590b095","http://xray","[http://xray]","[WindowsAzureActiveDirectoryIntegratedApp]"
"G Suite B","Ratchev","AAD App Gallery","True","False","5","0","0","N/A","","0","","N/A",,,"0f785cc2-84e8-4a7b-bd1c-1cb58d0a81c3","ffba644e-dd51-4bc9-bb21-fd23b2c0267c","https://www.google.com?metadata=googleapps|ISV9.1|primary|z","[https://www.google.com/a/iviratchev.xyz/acs][https://www.google.com/a/*][https://www.google.com]","[01303a13-8322-4e06-bee5-80d612907131][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
